Campo,Informação
Nome (ptBR),"Código: Matemática Discreta I BCC101 Nome do Componente Curricular em inglês: Discrete Mathematics I Nome e sigla do departamento: Unidade Acadêmica: Departamento de Computação (DECOM) ICEB Modalidade de oferta: [ X ] presencial [ ] a distância Carga horária semestral Carga horária semanal Total Extensionista Teórica Prática 60 horas 00 horas 04 horas/aula 00 horas/aula Ementa:Introduçãoàteoriadeconjuntos:definiçõesdeconjuntos,operaçõessobreconjuntos,cardinalidade de conjuntos. Funções: conceitosbásicos,composição,funçõesrecursivas.Lógicaproposicionalelógicade predicados: sintaxe, semântica e sistema de dedução. Estratégias de prova. Indução e recursão. Conteúdo programático: ● Introdução e Revisão de Teoria de Conjuntos ● Sintaxe e Semântica da Lógica Proposicional ● Sistema de Dedução da Lógica Proposicional ● Álgebra Booleana ● Sintaxe e Semântica da Lógica de Predicados ● Sistema de Dedução - Lógica de Predicados ● Álgebra de Predicados ● Estratégias de prova ● Indução e Recursão ● Provas e correção de provas Bibliografia básica: ● VELLEMAN, Daniel. J. How to Prove it: A Structured Approach. Cambridge: Cambridge University Press, 2006. • ROSEN, Kenneth. H. Matemática Discreta e suas Aplicações. 6.ed. São Paulo: McGraw-Hill, 2009. • O´DONNELL, Jonh.; HALL, Cordelia.; PAGE, Rex. Discrete Mathematics Using a Computer. Glasgow: Springer-Verlag, 2000. ● ROSEN, Kenneth. H. Matemática Discreta e suas Aplicações. 6.ed. São Paulo: McGraw-Hill, 2009. ● O´DONNELL, Jonh.; HALL, Cordelia.; PAGE, Rex. Discrete Mathematics Using a Computer. Glasgow: Springer-Verlag, 2000 Bibliografia complementar: ● HUTH,Michael;RYAN,Mark.LógicaemCiênciadaComputação:ModelagemeArgumentaçãosobre Sistemas. 2. ed. Rio de Janeiro: LTC, 2008. UNIVERSIDADE FEDERAL DE OURO PRETO PRÓ-REITORIA DE GRADUAÇÃO PROGRAMA DE DISCIPLINA ● SCHEINERMAN, Edward. R. Matemática Discreta: Uma Introdução. São Paulo: Cengage Learning, 2011. ● GERSTING,JudithL.FundamentosMatemáticosparaaCiênciadaComputação.5.ed.RiodeJaneiro: LTC, 2004."
Nome (enUS),"Discrete Mathematics I Nome e sigla do departamento: Unidade Acadêmica: Departamento de Computação (DECOM) ICEB Modalidade de oferta: [ X ] presencial [ ] a distância Carga horária semestral Carga horária semanal Total Extensionista Teórica Prática 60 horas 00 horas 04 horas/aula 00 horas/aula Ementa:Introduçãoàteoriadeconjuntos:definiçõesdeconjuntos,operaçõessobreconjuntos,cardinalidade de conjuntos. Funções: conceitosbásicos,composição,funçõesrecursivas.Lógicaproposicionalelógicade predicados: sintaxe, semântica e sistema de dedução. Estratégias de prova. Indução e recursão. Conteúdo programático: ● Introdução e Revisão de Teoria de Conjuntos ● Sintaxe e Semântica da Lógica Proposicional ● Sistema de Dedução da Lógica Proposicional ● Álgebra Booleana ● Sintaxe e Semântica da Lógica de Predicados ● Sistema de Dedução - Lógica de Predicados ● Álgebra de Predicados ● Estratégias de prova ● Indução e Recursão ● Provas e correção de provas Bibliografia básica: ● VELLEMAN, Daniel. J. How to Prove it: A Structured Approach. Cambridge: Cambridge University Press, 2006. • ROSEN, Kenneth. H. Matemática Discreta e suas Aplicações. 6.ed. São Paulo: McGraw-Hill, 2009. • O´DONNELL, Jonh.; HALL, Cordelia.; PAGE, Rex. Discrete Mathematics Using a Computer. Glasgow: Springer-Verlag, 2000. ● ROSEN, Kenneth. H. Matemática Discreta e suas Aplicações. 6.ed. São Paulo: McGraw-Hill, 2009. ● O´DONNELL, Jonh.; HALL, Cordelia.; PAGE, Rex. Discrete Mathematics Using a Computer. Glasgow: Springer-Verlag, 2000 Bibliografia complementar: ● HUTH,Michael;RYAN,Mark.LógicaemCiênciadaComputação:ModelagemeArgumentaçãosobre Sistemas. 2. ed. Rio de Janeiro: LTC, 2008. UNIVERSIDADE FEDERAL DE OURO PRETO PRÓ-REITORIA DE GRADUAÇÃO PROGRAMA DE DISCIPLINA ● SCHEINERMAN, Edward. R. Matemática Discreta: Uma Introdução. São Paulo: Cengage Learning, 2011. ● GERSTING,JudithL.FundamentosMatemáticosparaaCiênciadaComputação.5.ed.RiodeJaneiro: LTC, 2004."
Código,Matemática
Departamento,"Unidade Acadêmica: Departamento de Computação (DECOM) ICEB Modalidade de oferta: [ X ] presencial [ ] a distância Carga horária semestral Carga horária semanal Total Extensionista Teórica Prática 60 horas 00 horas 04 horas/aula 00 horas/aula Ementa:Introduçãoàteoriadeconjuntos:definiçõesdeconjuntos,operaçõessobreconjuntos,cardinalidade de conjuntos. Funções: conceitosbásicos,composição,funçõesrecursivas.Lógicaproposicionalelógicade predicados: sintaxe, semântica e sistema de dedução. Estratégias de prova. Indução e recursão. Conteúdo programático: ● Introdução e Revisão de Teoria de Conjuntos ● Sintaxe e Semântica da Lógica Proposicional ● Sistema de Dedução da Lógica Proposicional ● Álgebra Booleana ● Sintaxe e Semântica da Lógica de Predicados ● Sistema de Dedução - Lógica de Predicados ● Álgebra de Predicados ● Estratégias de prova ● Indução e Recursão ● Provas e correção de provas Bibliografia básica: ● VELLEMAN, Daniel. J. How to Prove it: A Structured Approach. Cambridge: Cambridge University Press, 2006. • ROSEN, Kenneth. H. Matemática Discreta e suas Aplicações. 6.ed. São Paulo: McGraw-Hill, 2009. • O´DONNELL, Jonh.; HALL, Cordelia.; PAGE, Rex. Discrete Mathematics Using a Computer. Glasgow: Springer-Verlag, 2000. ● ROSEN, Kenneth. H. Matemática Discreta e suas Aplicações. 6.ed. São Paulo: McGraw-Hill, 2009. ● O´DONNELL, Jonh.; HALL, Cordelia.; PAGE, Rex. Discrete Mathematics Using a Computer. Glasgow: Springer-Verlag, 2000 Bibliografia complementar: ● HUTH,Michael;RYAN,Mark.LógicaemCiênciadaComputação:ModelagemeArgumentaçãosobre Sistemas. 2. ed. Rio de Janeiro: LTC, 2008. UNIVERSIDADE FEDERAL DE OURO PRETO PRÓ-REITORIA DE GRADUAÇÃO PROGRAMA DE DISCIPLINA ● SCHEINERMAN, Edward. R. Matemática Discreta: Uma Introdução. São Paulo: Cengage Learning, 2011. ● GERSTING,JudithL.FundamentosMatemáticosparaaCiênciadaComputação.5.ed.RiodeJaneiro: LTC, 2004."
Unidade Acadêmica,"Departamento de Computação (DECOM) ICEB Modalidade de oferta: [ X ] presencial [ ] a distância Carga horária semestral Carga horária semanal Total Extensionista Teórica Prática 60 horas 00 horas 04 horas/aula 00 horas/aula Ementa:Introduçãoàteoriadeconjuntos:definiçõesdeconjuntos,operaçõessobreconjuntos,cardinalidade de conjuntos. Funções: conceitosbásicos,composição,funçõesrecursivas.Lógicaproposicionalelógicade predicados: sintaxe, semântica e sistema de dedução. Estratégias de prova. Indução e recursão. Conteúdo programático: ● Introdução e Revisão de Teoria de Conjuntos ● Sintaxe e Semântica da Lógica Proposicional ● Sistema de Dedução da Lógica Proposicional ● Álgebra Booleana ● Sintaxe e Semântica da Lógica de Predicados ● Sistema de Dedução - Lógica de Predicados ● Álgebra de Predicados ● Estratégias de prova ● Indução e Recursão ● Provas e correção de provas Bibliografia básica: ● VELLEMAN, Daniel. J. How to Prove it: A Structured Approach. Cambridge: Cambridge University Press, 2006. • ROSEN, Kenneth. H. Matemática Discreta e suas Aplicações. 6.ed. São Paulo: McGraw-Hill, 2009. • O´DONNELL, Jonh.; HALL, Cordelia.; PAGE, Rex. Discrete Mathematics Using a Computer. Glasgow: Springer-Verlag, 2000. ● ROSEN, Kenneth. H. Matemática Discreta e suas Aplicações. 6.ed. São Paulo: McGraw-Hill, 2009. ● O´DONNELL, Jonh.; HALL, Cordelia.; PAGE, Rex. Discrete Mathematics Using a Computer. Glasgow: Springer-Verlag, 2000 Bibliografia complementar: ● HUTH,Michael;RYAN,Mark.LógicaemCiênciadaComputação:ModelagemeArgumentaçãosobre Sistemas. 2. ed. Rio de Janeiro: LTC, 2008. UNIVERSIDADE FEDERAL DE OURO PRETO PRÓ-REITORIA DE GRADUAÇÃO PROGRAMA DE DISCIPLINA ● SCHEINERMAN, Edward. R. Matemática Discreta: Uma Introdução. São Paulo: Cengage Learning, 2011. ● GERSTING,JudithL.FundamentosMatemáticosparaaCiênciadaComputação.5.ed.RiodeJaneiro: LTC, 2004."
Modalidade,presencial
Ementa,"Introduçãoàteoriadeconjuntos:definiçõesdeconjuntos,operaçõessobreconjuntos,cardinalidade de conjuntos. Funções: conceitosbásicos,composição,funçõesrecursivas.Lógicaproposicionalelógicade predicados: sintaxe, semântica e sistema de dedução. Estratégias de prova. Indução e recursão."
Conteúdo Programático,● Introdução e Revisão de Teoria de Conjuntos; ● Sintaxe e Semântica da Lógica Proposicional; ● Sistema de Dedução da Lógica Proposicional; ● Álgebra Booleana; ● Sintaxe e Semântica da Lógica de Predicados; ● Sistema de Dedução - Lógica de Predicados; ● Álgebra de Predicados; ● Estratégias de prova; ● Indução e Recursão; ● Provas e correção de provas
Bibliografia Básica,"● VELLEMAN, Daniel. J. How to Prove it: A Structured Approach. Cambridge: Cambridge University; Press, 2006. • ROSEN, Kenneth. H. Matemática Discreta e suas Aplicações. 6.ed. São Paulo:; McGraw-Hill, 2009. • O´DONNELL, Jonh.; HALL, Cordelia.; PAGE, Rex. Discrete Mathematics Using a; Computer. Glasgow: Springer-Verlag, 2000.; ● ROSEN, Kenneth. H. Matemática Discreta e suas Aplicações. 6.ed. São Paulo: McGraw-Hill, 2009.; ● O´DONNELL, Jonh.; HALL, Cordelia.; PAGE, Rex. Discrete Mathematics Using a Computer. Glasgow:; Springer-Verlag, 2000"
Bibliografia Complementar,"● HUTH,Michael;RYAN,Mark.LógicaemCiênciadaComputação:ModelagemeArgumentaçãosobre; Sistemas. 2. ed. Rio de Janeiro: LTC, 2008.; UNIVERSIDADE FEDERAL DE OURO PRETO; PRÓ-REITORIA DE GRADUAÇÃO; PROGRAMA DE DISCIPLINA; ● SCHEINERMAN, Edward. R. Matemática Discreta: Uma Introdução. São Paulo: Cengage Learning,; 2011.; ● GERSTING,JudithL.FundamentosMatemáticosparaaCiênciadaComputação.5.ed.RiodeJaneiro:; LTC, 2004."
